VoteIntention,Region,Gender,Ethnicity,MaritalStatus,Age,Housing,Qualifications
LiberalDemocrat,west midlands,male,white,Partner/Single,38,Owns/Mortgage,GCE
NA,scotland,male,white,Married/Widowed,65,Owns/Outright,Technical/None/Other
NA,yorkshire & humberside,female,white,Married/Widowed,30,Owns/Mortgage,BA
NA,north west,male,white,Married/Widowed,48,Owns/Outright,BA
NA,yorkshire & humberside,female,white,Partner/Single,53,Owns/Outright,GCE
Other,scotland,male,white,Partner/Single,37,Owns/Mortgage,BA
Labour,yorkshire & humberside,female,white,Partner/Single,27,Rent/Other,GCE
LiberalDemocrat,south east,male,white,Partner/Single,61,Owns/Outright,BA
Labour,greater london,female,white,Married/Widowed,60,Owns/Mortgage,GCSE
NA,north west,male,white,Married/Widowed,62,Owns/Outright,Technical/None/Other
NA,wales,female,white,Partner/Single,59,Owns/Mortgage,BA
Conservative,north west,male,white,Married/Widowed,66,Owns/Outright,Technical/None/Other
NA,north,male,white,Married/Widowed,73,Owns/Mortgage,Technical/None/Other
Other,wales,female,white,Seperated/Divorced,66,Owns/Outright,GCSE
NA,south east,female,white,Married/Widowed,60,Owns/Outright,GCSE
Conservative,south east,female,white,Married/Widowed,71,Owns/Outright,Technical/None/Other
Labour,east midlands,female,white,Partner/Single,20,Owns/Mortgage,GCE
LiberalDemocrat,south west,female,white,Married/Widowed,60,Owns/Outright,BA
Conservative,greater london,male,white,Married/Widowed,42,Owns/Mortgage,BA
LiberalDemocrat,wales,female,white,Partner/Single,19,Owns/Mortgage,GCE
Conservative,west midlands,male,white,Partner/Single,40,Owns/Mortgage,GCE
Conservative,greater london,male,white,Partner/Single,57,Owns/Mortgage,Technical/None/Other
Conservative,south east,male,white,Married/Widowed,66,Owns/Outright,BA
Conservative,north west,male,white,Married/Widowed,44,Owns/Mortgage,GCE
NA,yorkshire & humberside,male,white,Married/Widowed,58,Owns/Outright,BA
NA,wales,female,white,Married/Widowed,46,Owns/Mortgage,BA
NA,south east,female,white,Married/Widowed,40,Owns/Mortgage,BA
NA,scotland,male,white,Married/Widowed,49,Rent/Other,BA
NA,east midlands,male,asian or asian british,Partner/Single,26,Rent/Other,BA
NA,scotland,male,white,Married/Widowed,59,Rent/Other,GCE
LiberalDemocrat,yorkshire & humberside,male,white,Married/Widowed,63,Owns/Outright,Technical/None/Other
Other,west midlands,female,white,Partner/Single,33,Rent/Other,GCE
NA,south east,female,white,Seperated/Divorced,63,Owns/Mortgage,Technical/None/Other
Conservative,north west,male,white,Married/Widowed,67,Owns/Outright,Technical/None/Other
Other,greater london,female,white,Partner/Single,59,Rent/Other,Technical/None/Other
NA,east midlands,female,white,Married/Widowed,68,Owns/Outright,Technical/None/Other
Labour,south east,male,white,Married/Widowed,51,Owns/Mortgage,Technical/None/Other
Conservative,east midlands,female,white,Married/Widowed,56,Owns/Mortgage,Technical/None/Other
Labour,south west,female,white,Married/Widowed,68,Owns/Outright,Technical/None/Other
Conservative,east midlands,male,white,Married/Widowed,80,Owns/Outright,GCE
Other,south east,male,white,Partner/Single,30,Rent/Other,BA
Labour,south west,male,white,Married/Widowed,48,Owns/Mortgage,GCE
Conservative,south east,male,white,Partner/Single,49,Rent/Other,GCE
LiberalDemocrat,greater london,female,white,Seperated/Divorced,60,Owns/Mortgage,GCSE
Labour,scotland,male,white,Partner/Single,26,Owns/Mortgage,BA
Labour,yorkshire & humberside,male,white,Partner/Single,50,Owns/Mortgage,GCE
LiberalDemocrat,south west,female,white,Partner/Single,60,Owns/Outright,BA
Labour,north,female,white,Seperated/Divorced,46,Owns/Mortgage,Technical/None/Other
Conservative,south east,male,white,Married/Widowed,26,Owns/Mortgage,BA
LiberalDemocrat,south east,male,white,Partner/Single,37,Owns/Mortgage,Technical/None/Other
Conservative,north west,male,white,Married/Widowed,52,Owns/Mortgage,GCE
NA,scotland,female,white,Partner/Single,28,Owns/Mortgage,GCE
NA,scotland,male,white,Married/Widowed,76,Owns/Mortgage,Technical/None/Other
NA,east midlands,female,white,Partner/Single,64,Owns/Outright,BA
Conservative,south west,male,white,Married/Widowed,76,Owns/Outright,GCE
Labour,wales,male,white,Married/Widowed,64,Owns/Outright,Technical/None/Other
NA,south east,male,white,Married/Widowed,67,Owns/Outright,Technical/None/Other
Conservative,north west,male,white,Married/Widowed,53,Owns/Mortgage,Technical/None/Other
NA,west midlands,male,white,Married/Widowed,87,Owns/Outright,BA
LiberalDemocrat,yorkshire & humberside,male,asian or asian british,Partner/Single,20,Owns/Mortgage,GCE
NA,greater london,male,white,Seperated/Divorced,65,Rent/Other,Technical/None/Other
LiberalDemocrat,south east,female,white,Married/Widowed,68,Owns/Outright,BA
Other,north west,male,white,Married/Widowed,59,Owns/Outright,GCE
Conservative,south west,male,white,Married/Widowed,59,Owns/Outright,BA
NA,south east,female,white,Married/Widowed,60,Owns/Mortgage,Technical/None/Other
NA,south west,male,white,Married/Widowed,61,Owns/Outright,Technical/None/Other
Other,wales,male,white,Married/Widowed,59,Owns/Mortgage,BA
Other,south east,male,white,Seperated/Divorced,58,Owns/Outright,Technical/None/Other
Conservative,yorkshire & humberside,female,white,Married/Widowed,73,Owns/Outright,GCE
Conservative,south east,female,white,Seperated/Divorced,68,Owns/Outright,Technical/None/Other
NA,north west,female,white,Married/Widowed,38,Owns/Mortgage,BA
NA,greater london,female,white,Partner/Single,45,Rent/Other,GCSE
NA,scotland,female,white,Married/Widowed,47,Owns/Outright,GCSE
Labour,north west,female,white,Married/Widowed,33,Owns/Mortgage,BA
LiberalDemocrat,south east,male,white,Seperated/Divorced,61,Rent/Other,GCSE
Conservative,south east,female,other ethnic background,Partner/Single,54,Owns/Mortgage,BA
Other,east anglia,male,white,Married/Widowed,64,Owns/Outright,Technical/None/Other
NA,south east,male,white,Married/Widowed,40,Owns/Mortgage,GCE
Labour,yorkshire & humberside,male,white,Partner/Single,45,Owns/Mortgage,Technical/None/Other
Conservative,west midlands,female,white,Partner/Single,27,Owns/Mortgage,Technical/None/Other
NA,south east,female,white,Married/Widowed,56,Owns/Outright,GCSE
NA,scotland,male,white,Seperated/Divorced,45,Owns/Outright,GCE
LiberalDemocrat,scotland,female,white,Married/Widowed,37,Owns/Mortgage,BA
NA,south east,male,white,Married/Widowed,64,Owns/Mortgage,Technical/None/Other
NA,wales,female,white,Married/Widowed,63,Owns/Outright,GCE
NA,south west,male,white,Married/Widowed,73,Owns/Outright,GCE
Labour,north west,female,white,Married/Widowed,69,Owns/Outright,BA
NA,east midlands,female,white,Seperated/Divorced,59,Owns/Outright,GCSE
NA,greater london,female,black or black british,Partner/Single,56,Rent/Other,Technical/None/Other
Labour,north west,female,white,Partner/Single,22,Owns/Mortgage,GCE
NA,greater london,male,black or black british,Married/Widowed,56,Owns/Mortgage,BA
NA,north west,male,white,Partner/Single,58,Owns/Outright,BA
NA,north west,female,white,Married/Widowed,48,Owns/Mortgage,BA
LiberalDemocrat,scotland,female,white,Partner/Single,35,Rent/Other,GCE
Conservative,wales,male,white,Seperated/Divorced,44,Owns/Mortgage,BA
NA,yorkshire & humberside,female,white,Married/Widowed,41,Owns/Mortgage,GCE
NA,scotland,male,white,Partner/Single,48,Owns/Mortgage,BA
NA,south east,male,white,Married/Widowed,26,Rent/Other,BA
Labour,south west,male,white,Partner/Single,44,Owns/Mortgage,Technical/None/Other
LiberalDemocrat,east anglia,female,white,Partner/Single,27,Rent/Other,GCE
Conservative,south west,female,white,Married/Widowed,66,Owns/Outright,Technical/None/Other
Conservative,west midlands,female,white,Married/Widowed,60,Owns/Mortgage,BA
NA,yorkshire & humberside,male,white,Married/Widowed,64,Owns/Outright,GCE
LiberalDemocrat,scotland,female,white,Partner/Single,37,Owns/Outright,GCE
LiberalDemocrat,south east,female,white,Married/Widowed,63,Owns/Outright,Technical/None/Other
NA,yorkshire & humberside,male,white,Married/Widowed,50,Rent/Other,GCE
NA,wales,male,white,Married/Widowed,32,Owns/Mortgage,Technical/None/Other
Conservative,greater london,male,white,Married/Widowed,67,Owns/Outright,GCE
LiberalDemocrat,east anglia,female,white,Married/Widowed,63,Owns/Outright,Technical/None/Other
LiberalDemocrat,scotland,female,white,Partner/Single,31,Owns/Mortgage,BA
Conservative,south east,female,white,Married/Widowed,60,Owns/Outright,Technical/None/Other
NA,wales,male,white,Partner/Single,21,Owns/Mortgage,GCSE
LiberalDemocrat,greater london,male,white,Partner/Single,57,Rent/Other,Technical/None/Other
LiberalDemocrat,north west,male,white,Seperated/Divorced,61,Rent/Other,GCE
Labour,scotland,male,white,Married/Widowed,65,Owns/Outright,BA
NA,east midlands,female,white,Seperated/Divorced,68,Rent/Other,Technical/None/Other
NA,south east,female,white,Married/Widowed,43,Owns/Mortgage,Technical/None/Other
Labour,north west,male,white,Married/Widowed,70,Owns/Outright,BA
Conservative,east anglia,female,white,Seperated/Divorced,78,Owns/Outright,Technical/None/Other
NA,north,female,white,Seperated/Divorced,46,Owns/Mortgage,GCE
LiberalDemocrat,greater london,female,asian or asian british,Partner/Single,21,Owns/Mortgage,GCE
Conservative,greater london,female,white,Married/Widowed,60,Owns/Outright,GCSE
Labour,north west,male,asian or asian british,Partner/Single,26,Owns/Outright,BA
NA,north west,male,white,Married/Widowed,66,Owns/Outright,Technical/None/Other
NA,greater london,male,white,Married/Widowed,31,Rent/Other,BA
Labour,greater london,female,white,Married/Widowed,47,Owns/Mortgage,BA
LiberalDemocrat,east anglia,male,white,Partner/Single,46,Owns/Mortgage,GCE
NA,north west,male,white,Married/Widowed,47,Owns/Mortgage,GCE
Labour,greater london,male,white,Married/Widowed,40,Owns/Mortgage,BA
LiberalDemocrat,south east,female,white,Married/Widowed,54,Rent/Other,BA
NA,east anglia,female,white,Married/Widowed,61,Owns/Outright,GCE
LiberalDemocrat,yorkshire & humberside,female,white,Partner/Single,56,Rent/Other,Technical/None/Other
LiberalDemocrat,scotland,female,white,Married/Widowed,45,Owns/Mortgage,BA
LiberalDemocrat,south west,male,white,Married/Widowed,67,Owns/Mortgage,Technical/None/Other
LiberalDemocrat,north,female,white,Married/Widowed,68,Owns/Outright,Technical/None/Other
LiberalDemocrat,north west,female,white,Married/Widowed,32,Owns/Mortgage,GCE
NA,north west,female,white,Partner/Single,28,Rent/Other,GCSE
LiberalDemocrat,east midlands,male,white,Married/Widowed,55,Owns/Outright,Technical/None/Other
NA,scotland,female,white,Partner/Single,28,Owns/Outright,GCE
Other,yorkshire & humberside,male,white,Married/Widowed,78,Owns/Outright,Technical/None/Other
Other,east midlands,male,white,Married/Widowed,58,Owns/Mortgage,Technical/None/Other
NA,west midlands,male,white,Married/Widowed,34,Owns/Mortgage,BA
NA,west midlands,female,white,Married/Widowed,59,Owns/Outright,GCE
NA,scotland,male,white,Married/Widowed,61,Owns/Mortgage,Technical/None/Other
NA,west midlands,male,white,Married/Widowed,58,Owns/Mortgage,GCE
Labour,south west,male,white,Married/Widowed,64,Owns/Outright,Technical/None/Other
Conservative,wales,female,white,Partner/Single,28,Rent/Other,GCE
NA,north west,male,white,Partner/Single,63,Owns/Outright,Technical/None/Other
Conservative,north,female,white,Married/Widowed,62,Owns/Outright,Technical/None/Other
Conservative,scotland,male,white,Married/Widowed,46,Owns/Mortgage,BA
NA,east midlands,male,white,Seperated/Divorced,56,Rent/Other,GCE
NA,south east,male,white,Partner/Single,62,Owns/Outright,Technical/None/Other
NA,north,female,white,Married/Widowed,68,Owns/Outright,GCSE
Labour,north west,male,white,Partner/Single,50,Owns/Mortgage,GCE
NA,east anglia,male,white,Seperated/Divorced,64,Owns/Outright,Technical/None/Other
Conservative,greater london,male,white,Married/Widowed,60,Owns/Outright,Technical/None/Other
Conservative,north west,male,white,Married/Widowed,55,Owns/Mortgage,Technical/None/Other
Conservative,east midlands,female,white,Married/Widowed,60,Owns/Outright,BA
NA,north west,female,white,Married/Widowed,29,Rent/Other,BA
NA,wales,male,white,Married/Widowed,48,Owns/Outright,Technical/None/Other
Conservative,east anglia,male,white,Married/Widowed,44,Owns/Mortgage,BA
LiberalDemocrat,south east,male,mixed background,Married/Widowed,42,Owns/Mortgage,BA
Other,east midlands,male,white,Married/Widowed,59,Rent/Other,Technical/None/Other
NA,south east,female,white,Seperated/Divorced,58,Owns/Outright,BA
NA,north west,female,white,Married/Widowed,59,Owns/Mortgage,BA
Conservative,east midlands,female,white,Married/Widowed,68,Owns/Outright,GCE
Labour,north west,male,white,Married/Widowed,30,Owns/Mortgage,GCE
Conservative,east midlands,female,white,Married/Widowed,64,Owns/Outright,Technical/None/Other
Conservative,greater london,male,mixed background,Partner/Single,22,Owns/Outright,GCE
Conservative,south east,male,white,Married/Widowed,38,Owns/Mortgage,BA
Conservative,greater london,female,white,Married/Widowed,56,Owns/Outright,GCE
Conservative,south east,female,white,Married/Widowed,70,Owns/Outright,BA
Labour,north west,female,white,Married/Widowed,64,Owns/Outright,BA
LiberalDemocrat,wales,female,white,Seperated/Divorced,58,Owns/Mortgage,Technical/None/Other
NA,north,female,white,Seperated/Divorced,56,Rent/Other,GCSE
Conservative,north west,female,white,Married/Widowed,61,Owns/Outright,Technical/None/Other
Conservative,west midlands,female,white,Married/Widowed,54,Owns/Outright,BA
LiberalDemocrat,east anglia,male,white,Married/Widowed,72,Rent/Other,GCE
LiberalDemocrat,greater london,female,white,Partner/Single,25,Rent/Other,BA
Conservative,west midlands,female,white,Seperated/Divorced,66,Owns/Outright,GCSE
NA,greater london,male,white,Married/Widowed,33,Rent/Other,GCE
Labour,east midlands,male,mixed background,Married/Widowed,48,Owns/Mortgage,BA
Conservative,wales,female,white,Married/Widowed,57,Owns/Mortgage,GCE
Labour,east midlands,female,white,Married/Widowed,52,Owns/Mortgage,GCE
Labour,north west,male,white,Married/Widowed,37,Owns/Mortgage,Technical/None/Other
NA,greater london,male,white,Partner/Single,22,Owns/Outright,BA
LiberalDemocrat,south west,male,white,Married/Widowed,62,Owns/Outright,GCE
NA,south west,female,white,Seperated/Divorced,60,Rent/Other,Technical/None/Other
Labour,yorkshire & humberside,male,white,Married/Widowed,49,Owns/Mortgage,GCE
NA,west midlands,male,white,Partner/Single,34,Rent/Other,GCSE
Labour,yorkshire & humberside,male,white,Married/Widowed,65,Owns/Outright,GCE
Labour,south west,female,white,Married/Widowed,63,Owns/Mortgage,GCE
Conservative,greater london,female,white,Married/Widowed,54,Owns/Outright,BA
NA,yorkshire & humberside,male,white,Partner/Single,50,Rent/Other,Technical/None/Other
Labour,greater london,male,white,Partner/Single,34,Owns/Mortgage,BA
Conservative,scotland,female,white,Partner/Single,35,Owns/Mortgage,Technical/None/Other
Labour,east midlands,male,white,Married/Widowed,49,Owns/Mortgage,Technical/None/Other
Conservative,greater london,male,white,Partner/Single,57,Rent/Other,BA
Other,east midlands,male,white,Married/Widowed,51,Owns/Mortgage,Technical/None/Other
LiberalDemocrat,yorkshire & humberside,male,white,Married/Widowed,46,Owns/Mortgage,Technical/None/Other
NA,south west,female,white,Married/Widowed,65,Owns/Outright,BA
Labour,south east,male,white,Married/Widowed,58,Owns/Outright,BA
NA,yorkshire & humberside,male,white,Married/Widowed,68,Owns/Outright,Technical/None/Other
NA,south east,female,white,Married/Widowed,56,Owns/Outright,BA
NA,north,female,white,Married/Widowed,56,Owns/Outright,BA
Labour,north west,male,white,Partner/Single,30,Owns/Mortgage,BA
NA,yorkshire & humberside,female,asian or asian british,Married/Widowed,34,Owns/Mortgage,BA
NA,greater london,female,white,Partner/Single,24,Owns/Outright,BA
Conservative,greater london,male,white,Married/Widowed,67,Owns/Outright,Technical/None/Other
NA,west midlands,female,white,Seperated/Divorced,62,Rent/Other,Technical/None/Other
LiberalDemocrat,south east,female,white,Married/Widowed,60,Owns/Mortgage,Technical/None/Other
NA,east anglia,female,white,Married/Widowed,61,Owns/Mortgage,Technical/None/Other
LiberalDemocrat,west midlands,male,white,Married/Widowed,77,Owns/Outright,BA
NA,south west,female,white,Seperated/Divorced,50,Owns/Mortgage,GCSE
Labour,west midlands,male,white,Partner/Single,36,Rent/Other,GCSE
NA,scotland,female,white,Partner/Single,26,Owns/Mortgage,BA
NA,east anglia,male,white,Married/Widowed,62,Owns/Outright,Technical/None/Other
Other,north,female,white,Married/Widowed,47,Owns/Outright,GCE
LiberalDemocrat,east anglia,female,white,Married/Widowed,64,Rent/Other,GCSE
LiberalDemocrat,south east,male,white,Partner/Single,28,Owns/Outright,Technical/None/Other
Conservative,south east,female,white,Married/Widowed,45,Owns/Mortgage,Technical/None/Other
Other,south east,male,white,Married/Widowed,79,Rent/Other,GCE
NA,west midlands,male,white,Partner/Single,46,Rent/Other,Technical/None/Other
NA,east anglia,female,white,Married/Widowed,57,Owns/Mortgage,Technical/None/Other
Conservative,east anglia,male,white,Partner/Single,37,Owns/Mortgage,Technical/None/Other
NA,greater london,female,white,Married/Widowed,59,Owns/Outright,GCSE
Conservative,west midlands,female,white,Married/Widowed,65,Owns/Outright,Technical/None/Other
NA,east anglia,female,white,Partner/Single,61,Rent/Other,GCE
Conservative,south east,male,white,Married/Widowed,64,Owns/Outright,GCE
Labour,north west,female,white,Married/Widowed,63,Owns/Outright,GCE
LiberalDemocrat,wales,male,white,Married/Widowed,74,Owns/Mortgage,Technical/None/Other
Labour,yorkshire & humberside,female,white,Married/Widowed,46,Owns/Mortgage,Technical/None/Other
Labour,north,female,white,Married/Widowed,68,Owns/Outright,Technical/None/Other
NA,wales,female,white,Partner/Single,49,Owns/Mortgage,Technical/None/Other
NA,yorkshire & humberside,male,white,Partner/Single,18,Owns/Mortgage,GCSE
Labour,west midlands,female,white,Partner/Single,53,Owns/Outright,GCE
NA,north west,male,white,Married/Widowed,61,Owns/Outright,Technical/None/Other
Labour,north west,female,white,Seperated/Divorced,56,Owns/Outright,Technical/None/Other
NA,scotland,male,white,Partner/Single,22,Owns/Mortgage,Technical/None/Other
Conservative,north west,male,white,Married/Widowed,36,Owns/Mortgage,Technical/None/Other
NA,south east,male,white,Married/Widowed,43,Rent/Other,BA
LiberalDemocrat,south east,male,other ethnic background,Married/Widowed,60,Rent/Other,BA
LiberalDemocrat,north west,male,white,Married/Widowed,62,Owns/Mortgage,Technical/None/Other
Conservative,east anglia,male,white,Partner/Single,34,Rent/Other,BA
Conservative,south east,female,white,Seperated/Divorced,64,Owns/Outright,GCE
NA,south east,female,white,Partner/Single,20,Owns/Mortgage,GCE
LiberalDemocrat,south east,female,white,Seperated/Divorced,53,Rent/Other,BA
Conservative,greater london,male,white,Married/Widowed,41,Owns/Mortgage,BA
LiberalDemocrat,west midlands,female,white,Partner/Single,21,Rent/Other,GCE
Labour,scotland,male,white,Married/Widowed,63,Rent/Other,Technical/None/Other
NA,greater london,female,other ethnic background,Partner/Single,30,Owns/Mortgage,BA
LiberalDemocrat,south west,male,white,Married/Widowed,62,Owns/Outright,BA
NA,south east,female,white,Seperated/Divorced,59,Owns/Outright,GCE
NA,scotland,male,white,Married/Widowed,71,Owns/Outright,Technical/None/Other
LiberalDemocrat,scotland,female,white,Married/Widowed,49,Owns/Mortgage,BA
Labour,west midlands,male,white,Partner/Single,63,Rent/Other,Technical/None/Other
Conservative,west midlands,female,white,Married/Widowed,63,Owns/Mortgage,GCSE
LiberalDemocrat,south west,male,white,Married/Widowed,67,Owns/Outright,BA
NA,greater london,female,white,Partner/Single,24,Rent/Other,GCE
Labour,north west,female,white,Partner/Single,76,Rent/Other,GCE
LiberalDemocrat,greater london,male,white,Married/Widowed,29,Owns/Mortgage,BA
NA,north west,male,white,Married/Widowed,62,Owns/Outright,GCE
Conservative,south east,female,white,Partner/Single,22,Rent/Other,BA
NA,wales,male,white,Partner/Single,53,Rent/Other,Technical/None/Other
NA,wales,male,white,Married/Widowed,59,Owns/Outright,GCE
NA,greater london,male,white,Partner/Single,22,Rent/Other,GCE
NA,south east,male,white,Married/Widowed,59,Owns/Outright,GCE
LiberalDemocrat,south east,male,white,Seperated/Divorced,65,Owns/Outright,BA
Conservative,east anglia,female,white,Married/Widowed,56,Owns/Mortgage,GCE
LiberalDemocrat,east anglia,female,white,Married/Widowed,71,Owns/Mortgage,GCE
Labour,north,female,white,Partner/Single,37,Rent/Other,Technical/None/Other
Labour,yorkshire & humberside,male,white,Seperated/Divorced,62,Owns/Mortgage,GCE
Conservative,south east,male,white,Seperated/Divorced,48,Owns/Mortgage,Technical/None/Other
NA,west midlands,male,white,Married/Widowed,58,Owns/Outright,GCSE
NA,east midlands,female,white,Married/Widowed,57,Owns/Mortgage,Technical/None/Other
NA,wales,female,white,Married/Widowed,63,Owns/Outright,Technical/None/Other
Labour,west midlands,male,white,Married/Widowed,62,Owns/Outright,GCE
Conservative,wales,male,white,Married/Widowed,71,Owns/Outright,Technical/None/Other
LiberalDemocrat,south east,female,white,Married/Widowed,50,Owns/Mortgage,GCSE
Other,greater london,male,white,Married/Widowed,76,Rent/Other,Technical/None/Other
Conservative,greater london,male,white,Married/Widowed,62,Owns/Outright,GCE
NA,wales,female,white,Married/Widowed,55,Owns/Mortgage,GCE
Conservative,west midlands,female,white,Married/Widowed,52,Owns/Outright,GCE
Conservative,south east,male,white,Partner/Single,50,Owns/Mortgage,Technical/None/Other
Labour,greater london,female,black or black british,Married/Widowed,58,Owns/Mortgage,BA
Other,scotland,male,white,Married/Widowed,64,Owns/Mortgage,Technical/None/Other
NA,greater london,female,white,Married/Widowed,30,Owns/Mortgage,BA
NA,east anglia,female,white,Partner/Single,54,Owns/Mortgage,BA
NA,greater london,male,white,Partner/Single,27,Owns/Mortgage,GCE
NA,east anglia,female,white,Partner/Single,59,Owns/Mortgage,Technical/None/Other
NA,yorkshire & humberside,female,white,Partner/Single,19,Owns/Mortgage,GCE
NA,east midlands,female,white,Partner/Single,21,Owns/Mortgage,GCSE
LiberalDemocrat,south east,female,white,Seperated/Divorced,52,Owns/Mortgage,GCE
Other,east midlands,male,white,Seperated/Divorced,63,Owns/Outright,GCE
NA,yorkshire & humberside,male,white,Married/Widowed,56,Owns/Mortgage,BA
NA,wales,female,mixed background,Seperated/Divorced,64,Owns/Outright,GCE
Conservative,south east,male,mixed background,Partner/Single,62,Owns/Mortgage,Technical/None/Other
Other,west midlands,male,white,Married/Widowed,63,Owns/Outright,Technical/None/Other
Conservative,south east,female,white,Partner/Single,57,Owns/Outright,GCE
Labour,east anglia,male,white,Married/Widowed,50,Owns/Mortgage,GCE
Conservative,east midlands,female,white,Married/Widowed,32,Owns/Mortgage,GCSE
LiberalDemocrat,yorkshire & humberside,male,white,Married/Widowed,77,Owns/Outright,BA
LiberalDemocrat,south east,female,white,Partner/Single,68,Owns/Outright,BA
Labour,greater london,male,mixed background,Married/Widowed,35,Owns/Mortgage,BA
Labour,east midlands,male,white,Married/Widowed,72,Owns/Outright,GCE
NA,east midlands,male,white,Married/Widowed,57,Owns/Mortgage,GCE
Other,greater london,male,white,Married/Widowed,65,Owns/Outright,GCSE
Other,north west,male,white,Seperated/Divorced,62,Rent/Other,GCE
LiberalDemocrat,east midlands,male,white,Partner/Single,19,Owns/Mortgage,GCE
Labour,greater london,female,other ethnic background,Partner/Single,28,Owns/Mortgage,BA
NA,east anglia,female,white,Married/Widowed,48,Rent/Other,Technical/None/Other
Labour,east midlands,female,white,Married/Widowed,53,Owns/Outright,Technical/None/Other
Labour,south east,male,white,Partner/Single,27,Owns/Mortgage,BA
NA,north west,male,white,Married/Widowed,45,Owns/Outright,GCSE
Conservative,south east,male,white,Married/Widowed,76,Owns/Outright,BA
Conservative,north west,female,white,Married/Widowed,63,Owns/Outright,GCE
Conservative,wales,male,white,Seperated/Divorced,59,Owns/Outright,Technical/None/Other
NA,south east,male,white,Seperated/Divorced,55,Owns/Mortgage,Technical/None/Other
Conservative,greater london,female,white,Married/Widowed,42,Owns/Mortgage,GCE
NA,north west,female,white,Partner/Single,62,Owns/Outright,Technical/None/Other
Conservative,greater london,male,mixed background,Partner/Single,24,Rent/Other,BA
NA,yorkshire & humberside,male,white,Partner/Single,46,Owns/Mortgage,GCSE
NA,south east,male,white,Partner/Single,34,Rent/Other,GCE
Conservative,east anglia,female,white,Married/Widowed,74,Rent/Other,Technical/None/Other
Conservative,east anglia,female,white,Married/Widowed,58,Rent/Other,GCE
NA,north west,male,white,Partner/Single,43,Owns/Mortgage,BA
Labour,wales,male,white,Partner/Single,43,Owns/Mortgage,GCE
Conservative,east anglia,male,white,Married/Widowed,74,Owns/Outright,GCE
NA,south east,male,white,Partner/Single,45,Owns/Mortgage,Technical/None/Other
Other,north west,male,white,Partner/Single,44,Owns/Mortgage,Technical/None/Other
LiberalDemocrat,east anglia,female,white,Married/Widowed,71,Owns/Outright,Technical/None/Other
Labour,north west,female,white,Married/Widowed,61,Rent/Other,Technical/None/Other
NA,west midlands,male,white,Married/Widowed,62,Owns/Mortgage,Technical/None/Other
NA,scotland,male,white,Married/Widowed,60,Owns/Mortgage,BA
NA,west midlands,female,white,Seperated/Divorced,52,Owns/Mortgage,GCE
Labour,scotland,male,white,Married/Widowed,47,Owns/Mortgage,Technical/None/Other
Conservative,south east,female,white,Partner/Single,46,Rent/Other,GCE
NA,scotland,female,white,Married/Widowed,41,Owns/Mortgage,BA
Labour,north west,female,white,Partner/Single,27,Rent/Other,BA
NA,scotland,female,white,Partner/Single,59,Owns/Mortgage,BA
NA,scotland,male,white,Married/Widowed,47,Owns/Mortgage,GCE
LiberalDemocrat,south east,male,white,Married/Widowed,61,Owns/Mortgage,GCE
LiberalDemocrat,scotland,male,white,Married/Widowed,52,Owns/Outright,GCE
NA,greater london,female,white,Partner/Single,31,Rent/Other,GCSE
NA,north west,female,white,Partner/Single,26,Rent/Other,Technical/None/Other
Conservative,wales,female,white,Married/Widowed,67,Owns/Outright,Technical/None/Other
Labour,south west,female,white,Married/Widowed,64,Owns/Outright,Technical/None/Other
Conservative,south east,female,white,Partner/Single,19,Owns/Mortgage,GCE
NA,south west,female,white,Partner/Single,33,Owns/Mortgage,BA
NA,south east,female,white,Married/Widowed,70,Owns/Mortgage,BA
LiberalDemocrat,north,female,white,Partner/Single,61,Owns/Outright,GCE
Labour,west midlands,female,white,Married/Widowed,63,Owns/Outright,BA
NA,north west,female,white,Married/Widowed,50,Owns/Mortgage,GCE
LiberalDemocrat,south east,female,white,Partner/Single,42,Owns/Outright,BA
NA,greater london,female,white,Married/Widowed,62,Rent/Other,BA
Conservative,scotland,female,white,Married/Widowed,50,Owns/Mortgage,Technical/None/Other
Conservative,greater london,male,white,Married/Widowed,67,Owns/Outright,Technical/None/Other
Other,yorkshire & humberside,female,white,Married/Widowed,70,Rent/Other,Technical/None/Other
NA,east anglia,female,white,Married/Widowed,59,Owns/Outright,Technical/None/Other
Conservative,east anglia,male,white,Married/Widowed,68,Owns/Outright,GCSE
Conservative,greater london,male,white,Partner/Single,47,Owns/Outright,Technical/None/Other
Labour,south east,male,white,Married/Widowed,47,Owns/Mortgage,BA
NA,scotland,male,white,Partner/Single,25,Owns/Mortgage,BA
Labour,north,male,white,Married/Widowed,73,Owns/Outright,Technical/None/Other
NA,south east,female,white,Married/Widowed,64,Owns/Outright,GCSE
Conservative,yorkshire & humberside,female,white,Married/Widowed,60,Owns/Outright,Technical/None/Other
Conservative,wales,female,white,Married/Widowed,52,Owns/Outright,GCE
NA,north,female,white,Partner/Single,20,Rent/Other,GCE
Labour,south west,male,white,Married/Widowed,68,Owns/Outright,Technical/None/Other
Conservative,south east,female,white,Married/Widowed,72,Owns/Outright,Technical/None/Other
NA,greater london,female,white,Partner/Single,26,Rent/Other,Technical/None/Other
Other,scotland,male,white,Married/Widowed,60,Rent/Other,Technical/None/Other
Conservative,east midlands,female,white,Married/Widowed,74,Owns/Outright,BA
NA,yorkshire & humberside,female,white,Partner/Single,33,Owns/Mortgage,GCE
Labour,scotland,male,white,Married/Widowed,48,Owns/Mortgage,BA
